Randall Wallace: Mean_cast=30.25, Mean_crew=51.25
Jonathan Frakes: Mean_cast=16.25, Mean_crew=30
George Clooney: Mean_cast=27.4, Mean_crew=30.8
Gary Shore: Mean_cast=23, Mean_crew=112
Andrzej Bartkowiak: Mean_cast=14.6, Mean_crew=33.6
Måns Mårlind: Mean_cast=31, Mean_crew=41
Gregory Hoblit: Mean_cast=19.333334, Mean_crew=44.333332
Gary McKendry: Mean_cast=18, Mean_crew=26
Wych Kaosayananda: Mean_cast=5, Mean_crew=15
Mikael Salomon: Mean_cast=10, Mean_crew=41.5
Bobby Farrelly: Mean_cast=33.454544, Mean_crew=46.18182
Dan St. Pierre: Mean_cast=12, Mean_crew=29
Kerry Conran: Mean_cast=11, Mean_crew=105
Michael Caton-Jones: Mean_cast=29.75, Mean_crew=29.25
Mikael Håfström: Mean_cast=26.75, Mean_crew=45.75
Phil Alden Robinson: Mean_cast=21, Mean_crew=108
David Slade: Mean_cast=29.666666, Mean_crew=34.333332
Joseph Ruben: Mean_cast=15, Mean_crew=44
Seth MacFarlane: Mean_cast=66.333336, Mean_crew=60.333332
Alejandro Amenábar: Mean_cast=33.25, Mean_crew=58.5
Kinka Usher: Mean_cast=26, Mean_crew=13
Craig Gillespie: Mean_cast=16.75, Mean_crew=29.5
Rob Bowman: Mean_cast=23.5, Mean_crew=66
Doug Lefler: Mean_cast=16, Mean_crew=10
Scott Waugh: Mean_cast=46, Mean_crew=69
Lawrence Kasdan: Mean_cast=20.8, Mean_crew=28.2
Michael Lembeck: Mean_cast=13.5, Mean_crew=20
Tom Hooper: Mean_cast=91.333336, Mean_crew=51
Nora Ephron: Mean_cast=15.333333, Mean_crew=20.333334
Angelina Jolie: Mean_cast=36.666668, Mean_crew=54
Clint Eastwood: Mean_cast=33.8, Mean_crew=33.4
Larry Charles: Mean_cast=15, Mean_crew=18.8
Stanley Kubrick: Mean_cast=23, Mean_crew=17.5
Will Gluck: Mean_cast=37, Mean_crew=36.333332
Glenn Ficarra: Mean_cast=33, Mean_crew=37
David S. Goyer: Mean_cast=16.5, Mean_crew=86
Taylor Hackford: Mean_cast=23, Mean_crew=18.833334
Michael Lehmann: Mean_cast=12, Mean_crew=12.666667
Stuart Beattie: Mean_cast=22, Mean_crew=87
Roman Polanski: Mean_cast=31.333334, Mean_crew=23.833334
Robert Rodriguez: Mean_cast=25.625, Mean_crew=46.0625
Baltasar Kormákur: Mean_cast=31.666666, Mean_crew=54.333332
Daniel Lee: Mean_cast=21.5, Mean_crew=5.5
Keenen Ivory Wayans: Mean_cast=19, Mean_crew=50.25
Rob Reiner: Mean_cast=19.727272, Mean_crew=28.636364
Marco Schnabel: Mean_cast=19, Mean_crew=17
Demian Lichtenstein: Mean_cast=13, Mean_crew=15
Josh Gordon: Mean_cast=24.5, Mean_crew=22
Tim Hill: Mean_cast=18.4, Mean_crew=13.8
David Frankel: Mean_cast=21.75, Mean_crew=29.75
Marc Lawrence: Mean_cast=38.333332, Mean_crew=15
Peter Billingsley: Mean_cast=18, Mean_crew=6
Wes Ball: Mean_cast=37, Mean_crew=90
Ryan Murphy: Mean_cast=17.5, Mean_crew=22
Robert Redford: Mean_cast=15.4, Mean_crew=35.2
